id_defcodeorder,code,active,typ,site
1,ftxftx1,1,1,Römerturm
431,ftxftx7,1,1,Alta
1192,g6fKUnP,1,1,Alta
1193,Xu6648k,1,1,Alta
1194,znmfqqh,1,1,Alta
1195,v1GE8Z9,1,1,Alta
1196,p4RagM2,1,1,Alta
1197,8QhVF2v,1,1,Alta
1198,eEjDqR2,1,1,Alta
1199,BrK66sw,1,1,Alta
1200,GMa4WK6,1,1,Alta
1201,mnnJ3Vu,1,1,Alta
1202,Z3yabdq,1,1,Alta
1203,tqWqAN7,1,1,Alta
1204,becBZX5,1,1,Alta
1205,FjnVrJk,1,1,Alta
1206,rn1cPT4,1,1,Alta
1207,mCJ5sLU,1,1,Alta
1208,3HasZzh,1,1,Alta
1209,vcZjUEq,1,1,Alta
1210,CHSrNSW,1,1,Alta
1211,5awELPZ,1,1,Alta
1212,v7KyYhd,1,1,Alta
1213,W5hwCSV,1,1,Alta
1214,3JEeAcJ,1,1,Alta
1215,BzfMEzu,1,1,Alta
1216,6h5PNma,1,1,Alta
1217,XBRtfCr,1,1,Alta
1218,g5AYTLF,1,1,Alta
1219,2pmQaqm,1,1,Alta
1220,pFGn1QZ,1,1,Alta
1221,D69sx25,1,1,Alta
1222,P8cqbfv,1,1,Alta
1223,vGnEDgS,1,1,Alta
1224,vv6eEFM,1,1,Alta
1225,j7vZgUF,1,1,Alta
1226,2Nwwyj2,1,1,Alta
1227,UynzMJH,1,1,Alta
1228,EEAFfdt,1,1,Alta
1229,LwBTVjC,1,1,Alta
1230,aE2vvmx,1,1,Alta
1231,1PCftQE,1,1,Alta
1232,izG9L6V,1,1,Alta
1233,5Qjj3N1,1,1,Alta
1234,mBysWFz,1,1,Alta
1235,caAwiPf,1,1,Alta
1236,Ch417Hs,1,1,Alta
1237,aw6w9Cc,1,1,Alta
1238,v4kjUEs,1,1,Alta
1239,KaS6tte,1,1,Alta
1240,jPr8Nwe,1,1,Alta
1241,JkYPy3B,1,1,Alta
1242,efU2iuG,1,1,Alta
1243,4CeBEFc,1,1,Alta
1244,gjuBgq9,1,1,Alta
1245,gRFqqux,1,1,Alta
1246,1fKWs7J,1,1,Alta
1247,rYAnB1z,1,1,Alta
1248,dz1uBFM,1,1,Alta
1249,RsLCheR,1,1,Alta
1250,izrEEET,1,1,Alta
1251,HKbbiBV,1,1,Alta
1255,zEvxJFr,1,1,Alta
1264,U3CHHqG,1,1,Alta
1266,fYrh9c5,1,1,Alta
1268,EBzXkrE,1,1,Alta
1269,ujJSZi1,1,1,Alta
1270,Fw4ff1z,1,1,Alta
1271,Y1DAEKy,1,1,Alta
1272,zTXTYHY,1,1,Alta
1273,Ksyicc7,1,1,Alta
1274,8Xy7Q7x,1,1,Alta
1275,jxewAzr,1,1,Alta
1283,JmXk9Rm,1,1,Alta
1286,71DMbyQ,1,1,Alta
1288,5iNLRxL,1,1,Alta
1294,QC3huQN,1,1,Alta
1298,ucaaj1K,1,1,Alta
1299,Kp2cJFP,1,1,Alta
1300,Lh1neAp,1,1,Alta
1301,Cp4gS3c,1,1,Alta
1304,SpgBSZd,1,1,Alta
1308,BLWBLR8,1,1,Alta
1309,EmqXut5,1,1,Alta
1310,MdWwqJD,1,1,Alta
1311,NpUqSU9,1,1,Alta
1312,zpMR5Nz,1,1,Alta
1313,HCEFk9Z,1,1,Alta
1314,zzC36b3,1,1,Alta
1315,VkLEvjA,1,1,Alta
1316,unmkkgC,1,1,Alta
1317,Zc4bjrg,1,1,Alta
1318,WKpnqfv,1,1,Alta
1319,kLdzGqC,1,1,Alta
1320,VrC4HpN,1,1,Alta
1321,WKsprhZ,1,1,Alta
1322,PAiBw5s,1,1,Alta
1323,66xMBNF,1,1,Alta
1324,ButMsrZ,1,1,Alta
1325,ZYmnYGJ,1,1,Alta
1326,gpZixxY,1,1,Alta
1327,RGBz4Jz,1,1,Alta
1328,aubsWDf,1,1,Alta
1329,2K9gUk7,1,1,Alta
1330,4nh5xkp,1,1,Alta
1331,B3PxFvK,1,1,Alta
1332,njn2LKa,1,1,Alta
1333,Qpk2GSF,1,1,Alta
1334,T6Ak1Gp,1,1,Alta
1335,2kRX1tU,1,1,Alta
1336,dqfZKuU,1,1,Alta
1337,WuFByQK,1,1,Alta
1338,sWcujM3,1,1,Alta
1339,HzEi5e5,1,1,Alta
1340,rRnydPA,1,1,Alta
